aquifer_code,aquifer_name,country_1,country_2,stratum,published_class,claim_tested,verdict,proposed_class,candidate_reclassification,gis_verdict,gis_acceptance,gis_side_tested,gis_feature,gis_dist_to_polygon_km,gis_dist_to_border_km,error_class,error_class_description,classF_published,classF_corrected,applied_to,applied_in_variant,evidence_tier,confidence,aquifer_specific_record,tier1_recitation,evidence,sources,notes
N061,Green River Valley Bolson,MEX,USA,F: random probability sample (second tranche),IU0,"Neither MEX nor USA has >1 ha of groundwater-irrigated cropland or >1 ha of urban-cluster land within 100 km of the shared border, over this aquifer.",CONFIRMED,,no,,,,,,,,,,,,,,high,yes,,"The TWDB groundwater availability model report for the West Texas Bolsons places the Green River Valley bolson in southern Hudspeth County, bounded by the Indio and Van Horn Mountains, crossed by the Rio Grande and extending into Chihuahua. It describes the area as 'sparsely populated, with only a few small towns and hamlets and mostly large ranches', with water supplied by 'a small number of wells' for domestic and livestock use; no irrigation or municipal pumping is attributed to the Green River Valley basin (unlike Eagle Flat / Wild Horse Flat).","[T1] Texas Water Development Board, Groundwater Availability Model for the West Texas Bolsons (Red Light Draw, Green River Valley, Eagle Flat) Aquifer, Model Report https://www.twdb.texas.gov/groundwater/models/gam/wtbl/WTBL_Model_Report.pdf | [T1] Texas Water Development Board Report 345, Minor Aquifers - West Texas Bolsons chapter https://www.twdb.texas.gov/publications/reports/numbered_reports/doc/R345/Minors/westtx.pdf","The nearest built-up places on either side of this reach of the Rio Grande (Candelaria and Ruidosa, TX; small Chihuahuan ejidos such as San Antonio del Bravo) are hamlets of a few dozen people; none is a municipal seat and none plausibly contributes >10 ha of urban land inside the 347 km2 polygon. Note that TWDB municipal users of the West Texas Bolsons (Presidio, Sierra Blanca, Valentine, Van Horn) are all attached to other bolsons in the group, not to Green River Valley. Some floodplain irrigation exists near Candelaria/Ruidosa but it draws on the Rio Grande (surface water), which does not bear on a groundwater claim, and it lies outside the bolson fill."
S032,Laguna Blanca,BOL,CHL,F: random probability sample (second tranche),IU0,"Neither BOL nor CHL has >1 ha of groundwater-irrigated cropland or >1 ha of urban-cluster land within 100 km of the shared border, over this aquifer.",CONFIRMED,,no,,,,,,,,,,,,,,medium,no,,"Laguna Blanca lies at ~4,350 m in the Sur Lipez altiplano of Bolivia (Eduardo Avaroa Andean Fauna National Reserve) immediately adjacent to the Chilean border near Licancabur. Searches in Spanish and English returned only lake/tourism and protected-area descriptions: the 57 km2 polygon contains no settlement, no cropland and no irrigation of any kind on either side.","[T2] Laguna Blanca (Bolivia-Chile) - Wikipedia (es): location in Sur Lipez, Eduardo Avaroa reserve, 4,350 m, uninhabited) https://es.wikipedia.org/wiki/Laguna_Blanca_(Bolivia-Chile) | [T2] Laguna Blanca (Bolivia) - Wikipedia (en) https://en.wikipedia.org/wiki/Laguna_Blanca_(Bolivia)","No aquifer-specific hydrogeological source found - only lake and protected-area descriptions, so record_exists=false. Near-miss worth recording: San Pedro de Atacama (Chile, pop ~5,600) is ~40-50 km west of the border, but it sits in the Salar de Atacama basin, well outside this 57 km2 polygon, so it does not contradict the claim. Both limbs (irrigation and urban) hold: this is genuinely empty high-Andean terrain."
AS013,Terek Aquifer,GEO,RUS,F: random probability sample (second tranche),IU0,"Neither GEO nor RUS has >1 ha of groundwater-irrigated cropland or >1 ha of urban-cluster land within 100 km of the shared border, over this aquifer.",CONTRADICTED_T1,UB,yes,rejected: feature outside the aquifer polygon,"not accepted: 4.2 km outside, beyond the tolerance of 1 km + 2 km",GEO/RUS,"Stepantsminda (GEO, 42.6583,44.6417, +/-1km)",4.2,7.4,G,"excluded: rejected, feature outside the polygon beyond its own uncertainty",,,,not applied: rejected,1,medium,no,,"The Georgia-Russia Terek aquifer occupies the upper Terek valley (Kazbegi Municipality, Georgia, through the Dariali gorge into North Ossetia). Stepantsminda - the administrative centre of Kazbegi Municipality and an officially urban-type settlement (daba), population 1,326 at the 2014 General Population Census - sits directly on the Terek valley floor about 12 km south of the Larsi/Dariali border crossing. Its built-up footprint (town plus adjoining Gergeti and the Georgian customs terminal) is on the order of several tens of hectares, far above the 10 ha threshold, and on the Russian side the Verkhniy Lars village and the large Upper Lars border-terminal complex lie within a few kilometres of the same border on the same valley fill. No groundwater-irrigated cropland exists on either side (alpine gorge, no irrigation agriculture).","[T1] National Statistics Office of Georgia (Geostat), 2014 General Population Census of Georgia - population and settlement status of Stepantsminda (daba), Kazbegi Municipality, Mtskheta-Mtianeti https://www.geostat.ge/en/single-news/1048/geostat-prepared-the-interactive-maps-of-the-2014-general-population-census-results | [T2] Stepantsminda - Wikipedia (administrative centre of Kazbegi Municipality, on the banks of the Terek, 1,740 m; 'The Larsi border crossing checkpoint on the Georgia-Russia border is located approximately 12 kilometres north of Stepantsminda') https://en.wikipedia.org/wiki/Stepantsminda","Contradiction is on the URBAN limb only; I found no groundwater-irrigated cropland on either side, so the ordered rule gives UB (at least one side has urban land but <10 ha of groundwater-irrigated cropland within 100 km), not DA. Because BOTH sides carry built-up land within a few km of the border, IU1 does not apply either. Caveat driving the medium confidence: I could not obtain the actual IGRAC polygon for AS013, so membership of Stepantsminda in the mapped aquifer is inferred from the fact that a 138.5 km2 Georgia-Russia 'Terek' unit can only be the upper Terek valley alluvium, where Stepantsminda is the only settlement of any size. Separately, Vladikavkaz (pop ~295,000, Rosstat) lies on the Terek ~30 km north of the border; if the polygon extends onto the Vladikavkaz fan the urban contradiction becomes overwhelming. Searches in Russian and English found no aquifer-specific literature for this unit (record_exists=false); it appears only in delineation inventories."
AS124,Jezira Tertiary Limestone Aquifer System,IRQ,SYR,F: random probability sample (second tranche),DA,"Both IRQ and SYR have groundwater-irrigated cropland over this aquifer, and neither side is >99% concentrated within 10 km of the border.",CONFIRMED,,no,,,,,,,,,,,,,,high,yes,,"The UN-ESCWA Inventory of Shared Water Resources in Western Asia has a dedicated chapter on the Jezira Tertiary Limestone Aquifer System, documenting groundwater abstraction for irrigation on both the Syrian (Hasakah/Jezira) and Iraqi (Sinjar/Tal Afar/Ninewa) sides, distributed across the basin rather than confined to the border strip. Nothing contradicts the DA claim.","[T1] UN-ESCWA & BGR, Inventory of Shared Water Resources in Western Asia - Jezira Tertiary Limestone Aquifer System chapter http://waterinventory.org/groundwater/jezira-tertiary-limestone-aquifer-system | [T1] UN-ESCWA & BGR, Inventory of Shared Water Resources in Western Asia (2013), full report https://digitallibrary.un.org/record/790315?ln=en","The DA class is robust: SYR 426,826/433,606 ha within 100 km with only 82,245 ha within 10 km (19%), and IRQ 78.8/132.1 ha (60%), so neither side approaches the >99%-within-10-km BL threshold. Input plausibility flag: the Iraqi groundwater-irrigated figure of 132 ha is implausibly small - ESCWA and Iraqi sources describe extensive well irrigation over the Iraqi Jezira around Sinjar, Tal Afar and Rabi'a - but correcting it upward would only reinforce DA. Second plausibility flag per guidance 5: ur2=1,679,081 ha (16,791 km2) of Syrian urban land over this aquifer is far larger than any credible built-up area in Hasakah/Deir ez-Zor governorates and suggests the urban layer is not properly clipped or is capturing bare/settlement-adjacent classes."
EB059,Mourgana Mountain / Mali I Gjerë Aquifer,ALB,GRC,F: random probability sample (second tranche),IU0,"Neither ALB nor GRC has >1 ha of groundwater-irrigated cropland or >1 ha of urban-cluster land within 100 km of the shared border, over this aquifer.",CONTRADICTED_T1,IU1,yes,rejected: feature outside the aquifer polygon,"not accepted: 38.1 km outside, beyond the tolerance of 5 km + 2 km",ALB/GRC,"Viroi karst spring pumping station (ALB, 40.1000,20.1450, +/-5km); Gjirokaster (ALB, 40.0758,20.1389, +/-1km)",38.1,44.1,G,"excluded: rejected, feature outside the polygon beyond its own uncertainty",,,,not applied: rejected,1,medium,yes,,"Peer-reviewed Albanian hydrogeology describes two large pumping stations in the eastern Mali i Gjere karst basin, including one at the Viroi karst-spring siphon (immediately north of Gjirokaster) that is pumped explicitly for irrigation purposes. This is groundwater (karst-spring/siphon abstraction) supplying irrigation on the Albanian side of the mapped massif, roughly 20-25 km from the Greek border (Kakavije), i.e. well inside the 100 km band and far above 10 ha. The city of Gjirokaster (pop 19,836, INSTAT 2011 census) is also built on the eastern flank of Mali i Gjere at the same distance from the border, so the ALB urban limb is doubtful too.","[T1] Eftimi, R., Hydrogeological characteristics of Albania - describes the Mali i Gjere karst basin, the Blue Eye spring, and 'two well-known large pumping stations in the eastern Mali Gjere karst basin', one at the Viroi spring siphon used for irrigation https://scispace.com/pdf/hydrogeological-characteristics-of-albania-ja2j2g7360.pdf | [T1] INSTAT (Institute of Statistics, Albania), Census of Population and Housing 2011 - Gjirokaster city population http://www.instat.gov.al/en/themes/censuses/census-of-population-and-housing/","Applying the ordered rule to the corrected numbers: ALB now has >10 ha of groundwater-irrigated cropland (and probably >10 ha urban) within 100 km, while GRC still has neither (gw2=0, ur2=0) - so exactly one side has neither, giving IU1, not DA and not UB. This coincides with the batch's clsF=IU1, so the finalized class is vindicated but the raw IU0 claim is not. Caveats: (i) the Viroi pumping station sits at the eastern edge of the massif and part of the irrigated command area is on the Drino valley floor, which may fall outside the mapped karst polygon; (ii) this record merges two separate massifs (Mourgana, on the border NE of Filiates, and Mali i Gjere, west of Gjirokaster) ~40 km apart, so the 362 km2 polygon's exact reach is uncertain. Near-miss on the Greek limb: Filiates (municipal seat, town pop ~2,300, ELSTAT 2011) lies on the southern foothills of Mourgana about 8-10 km from the Albanian border; if it falls inside the polygon then GRC also has urban land and the class becomes UB rather than IU1. I could not verify that, so I record IU1."
EB093,Cijevna / Cemi Aquifer,ALB,MNE,F: random probability sample (second tranche),IU1,"ALB has >1 ha of neither groundwater-irrigated cropland nor urban-cluster land within 100 km of the shared border, over this aquifer.",CONFIRMED,,no,,,,,,,,,,,,,,low,yes,,"The Cijevna/Cem transboundary basin (650 km2, Albania-Montenegro) is documented in the peer-reviewed literature as a karst and intergranular system in which the river sinks progressively and dries out before its confluence. The Albanian portion is the upper Cem catchment in Kelmend (Malesi e Madhe) - an alpine valley of scattered villages (Tamare, Selce, Vukel, Nikc, Lepushe, Vermosh) with no town and no documented irrigation scheme. Nothing found contradicts the claim that ALB has <10 ha of both groundwater-irrigated cropland and urban land over the polygon.","[T1] Radulovic, M. et al., Transboundary groundwater resource management: needs for monitoring the Cijevna River Basin (Montenegro-Albania), Environmental Earth Sciences 79 (2020) https://doi.org/10.1007/s12665-020-8809-8 | [T2] Cem (river) - Wikipedia: course through Kelmend (Albania) into the Podgorica plain (Montenegro) https://en.wikipedia.org/wiki/Cem_(river)","This is a fragile classification and the authors should treat it as such. (1) gw1=8.7 ha is only 1.3 ha below the 10 ha threshold, so any modest revision flips ALB into the 'has groundwater irrigation' category and the dyad out of IU1. (2) On the urban limb, the Kelmend administrative unit (former commune, ~3,000-4,000 residents at the 2011 INSTAT census, centre at Tamare) sits directly on the Albanian part of the basin only a few kilometres from Montenegro; its dispersed built-up footprint could plausibly exceed 10 ha under a fine-resolution built-up layer such as GHSL, even though no single place there qualifies as a town. I found no source establishing this, so I do not record a contradiction, but ur1=0.0 exactly should not be taken at face value. The source paper does not discuss settlement or water use on the Albanian side at all. Note also that clsF=BL while cls=IU1, i.e. the pipeline itself is unstable for this dyad."
EU318,Uschowa / Ol?eva (part of the Karawanken / Karavanke transboundary groundwater body),AUT,SVN,F: random probability sample (second tranche),IU0,"Neither AUT nor SVN has >1 ha of groundwater-irrigated cropland or >1 ha of urban-cluster land within 100 km of the shared border, over this aquifer.",CONFIRMED,,no,,,,,,,,,,,,,,medium,yes,,"The Uschowa/Olseva unit is a small (7.8 km2) karst massif on the Austria-Slovenia border, part of the Karavanke/Karawanken transboundary groundwater body described in the peer-reviewed literature. The polygon is the mountain ridge itself (up to 1,929 m, forested/alpine): there is no settlement on it and no irrigated agriculture in either the Slovenian Solcava valley or the Austrian Vellach valley below it.","[T1] Brencic, M. et al., Transboundary Groundwater Body Karavanke/Karawanken between Austria and Slovenia, EGU General Assembly 2009 abstract EGU2009-8246 https://meetingorganizer.copernicus.org/EGU2009/EGU2009-8246.pdf | [T2] Olseva/Uschowa - SummitPost (topography and setting of the massif on the Austrian-Slovenian border) https://www.summitpost.org/olseva-uschowa/151247","Both limbs hold. Nearest built-up places are Solcava (SVN, village pop ~200, municipality ~500) and Bad Eisenkappel (AUT, ~2,200), each several kilometres from and several hundred metres below the massif, and outside a 7.8 km2 ridge polygon. Austria and Slovenia both practise almost no irrigation in this alpine karst; groundwater here is used for spring-fed drinking supply. IU0 is the right answer for the reason the class intends."
AS002,Coastal Aquifer Basin,EGY,ISR,F: random probability sample (second tranche),DA,"Both EGY and ISR have groundwater-irrigated cropland over this aquifer, and neither side is >99% concentrated within 10 km of the border.",CONFIRMED,,no,,,,,,,,,,,,,,high,yes,,"The UN-ESCWA Inventory chapter on the Coastal Aquifer Basin documents heavy groundwater abstraction for irrigation on both the Israeli coastal plain and the Egyptian (northern Sinai / Rafah-El Arish) side, distributed across the whole basin. Nothing contradicts the DA claim, and both sides' within-10-km shares are far below 99% (ISR 15,331/31,487 = 49%; EGY 464/678 = 68%).","[T1] UN-ESCWA & BGR, Inventory of Shared Water Resources in Western Asia, Chapter 20: Coastal Aquifer Basin https://waterinventory.org/sites/waterinventory.org/files/chapters/Chapter-20-Coastal-Aquifer-Basin-web.pdf | [T1] UN-ESCWA, Coastal Aquifer Basin (Inventory of Shared Water Resources in Western Asia, online chapter) http://waterinventory.org/groundwater/coastal-aquifer-basin","Input plausibility flag per guidance 5: ur2=974,564 ha (9,746 km2) of Israeli urban land over an 18,392 km2 polygon would mean 53% of the mapped aquifer is built up; Israel's entire built-up area is roughly a fifth of that. The urban layer appears not to be clipped to the polygon, or is capturing far more than settlement. ur1=106,663 ha for Egypt is similarly large for the North Sinai coast. This does not change the verdict (DA is driven by the cropland fields) but it matters for any analysis that uses ur1/ur2 as a covariate. Also note the dyad is coded EGY-ISR while the aquifer's most intensively pumped segment is the Gaza Strip, which is not represented in the dyad."
AF014,Nata Karoo Sub-basin / Caprivi Lower Aquifer,AGO,ZMB,F: random probability sample (second tranche),UB,AGO has <1 ha of groundwater-irrigated cropland within 100 km of the shared border over this aquifer (it does have urban-cluster land).,CONFIRMED,,no,,,,,,,,,,,,,,medium,yes,,"Searched for irrigation development on the Angolan side of the Nata Karoo sub-basin / Caprivi (Kalahari) aquifer near the Zambian border (Moxico and Cuando provinces, upper Zambezi/Cuando headwaters). BGS and SADC-region hydrogeological syntheses describe Angolan groundwater use in this region as limited to hand-pumped and small motorised boreholes for domestic and livestock supply; no irrigation schemes of any scale are documented, and the region's small amount of cropland is rainfed on dambos and river margins.","[T1] British Geological Survey, Hydrogeology of Angola (Africa Groundwater Atlas) - Kalahari sequence aquifers, groundwater use dominated by rural domestic supply https://earthwise.bgs.ac.uk/index.php/Hydrogeology_of_Angola | [T1] BGS/NERC, Groundwater Quality: Angola (background report) https://nora.nerc.ac.uk/id/eprint/534332/1/Angola.pdf","The claim tested for a UB dyad is about cropland only, so urban evidence is not a contradiction. For the record, the Angolan side does carry settlement (ur1=3,794 ha) consistent with towns such as Cazombo and Lumbala N'guimbo in Moxico/Cuando, which is what puts the dyad in UB in the first place. Angola's post-war irrigation rehabilitation programmes are concentrated in the western and central highlands and the Cunene, not in the southeastern Kalahari sand country, so the <10 ha groundwater-irrigation figure is credible. Confidence is medium rather than high only because no source addresses this specific aquifer polygon's Angolan portion directly."
AF046,Sudd Basin,SDN,SSD,F: random probability sample (second tranche),IU1,"SDN has >1 ha of neither groundwater-irrigated cropland nor urban-cluster land within 100 km of the shared border, over this aquifer.",CONFIRMED,,no,,,,,,,,,,,,,,low,yes,,"The Sudd Basin / Umm Ruwaba aquifer is documented by BGS for Sudan as an unconsolidated sand-silt-clay system of low to moderate productivity that 'is used mostly for small domestic supplies and livestock watering' rather than for irrigation, so the groundwater-irrigation limb of the SDN claim is supported. On the urban limb, the Sudanese side of this border (southern White Nile State around Joda, and the southern fringes of South Kordofan) has no municipal seat that I could place inside the mapped polygon and inside 100 km.","[T1] British Geological Survey, Hydrogeology of Sudan (Africa Groundwater Atlas) - Um Ruwaba Formation aquifer extent and use https://earthwise.bgs.ac.uk/index.php/Hydrogeology_of_Sudan | [T1] British Geological Survey, Hydrogeology of South Sudan (Africa Groundwater Atlas) https://earthwise.bgs.ac.uk/index.php/Hydrogeology_of_South_Sudan","Important near-miss the authors should weigh: El Jebelein / Al Jabalayn (White Nile State, Sudan), a town and locality centre on the east bank of the White Nile, lies roughly 70 km north of the Joda/Renk border crossing - comfortably inside the 100 km band - and sits within the northward extension of the Umm Ruwaba/Melut trough. If the mapped Sudd Basin polygon reaches that far north, the SDN urban limb fails, IU1 no longer holds, and the ordered rule gives UB (SSD has large urban land and 0 ha of groundwater irrigation; SDN would have urban land and 0 ha of groundwater irrigation). I could not obtain the polygon and therefore do not record a contradiction, but ur1=0.0 exactly over a 281,560 km2 aquifer straddling this border deserves a check against the shapefile. Input plausibility flag per guidance 5: ur2=365,372 ha (3,654 km2) of urban land in the South Sudanese Sudd is not credible - the entire region's built-up area (Bor, Malakal, Bentiu, Renk and smaller centres) is an order of magnitude smaller - so the urban layer looks unclipped or is capturing seasonally bare/flooded surfaces as built-up."
CB002,Artibonito,DOM,HTI,F: random probability sample (second tranche),DA,"Both DOM and HTI have groundwater-irrigated cropland over this aquifer, and neither side is >99% concentrated within 10 km of the border.",CONFIRMED,,no,,,,,,,,,,,,,,medium,yes,,"Irrigation in the Artibonite basin is documented on both sides: the Haitian lower Artibonite plain is dominated by surface-water canal irrigation from the Peligre/Artibonite system but also uses wells, and the Dominican upper basin (Elias Pina / San Juan) has scattered well irrigation. Nothing found indicates that either side's groundwater-irrigated cropland is absent or >99% concentrated within 10 km of the DOM-HTI border, so the DA claim stands.","[T1] FAO AQUASTAT, Global map of irrigation areas - Haiti country profile https://www.fao.org/aquastat/en/geospatial-information/global-maps-irrigated-areas/irrigation-by-country/country/HTI/index.html | [T1] Organization of American States, Department of Sustainable Development - Artibonito river basin project http://www.oas.org/dsd/waterresources/pastprojects/artibonito_eng.asp | [T1] US Army Corps of Engineers, Water Resources Assessment of Haiti https://www.gvsu.edu/cms4/asset/CE59D505-D565-6FFC-FF0D167C69F76EFC/acoe_water_resources_of_haiti.pdf","INPUT PLAUSIBILITY FLAG: ur2 (HTI urban) = 479,832 ha on an aquifer polygon of 888,368 ha, i.e. 54% of the entire mapped aquifer classed as urban. That is not credible for the Artibonite valley and strongly suggests the urban layer is not clipped to the polygon (or is a coarse built-up-presence mask). ur1 (DOM) = 26,781 ha is also high. The verdict is unaffected because the DA rule here turns on cropland, but the same urban layer feeds the IU0/IU1/UB limbs elsewhere. Near-miss: most Artibonite valley irrigation is surface water, so the gw2 = 634 ha figure for HTI is the load-bearing number and I could not independently verify it at aquifer scale."
N070,Serrania del Burro Aquifer,MEX,USA,F: random probability sample (second tranche),IU0,"Neither MEX nor USA has >1 ha of groundwater-irrigated cropland or >1 ha of urban-cluster land within 100 km of the shared border, over this aquifer.",CONFIRMED,,no,,,,,,,,,,,,,,medium,yes,,"Sanchez, Lopez & Eckstein (J. Hydrology 2016) describe the Serrania del Burro unit (part of the ISARM Edwards-Trinity-Burro system) and state that 'groundwater development is limited in this region' on the Mexican side with no deficit reported; the range itself is high, rugged, extensively ranched country in northern Coahuila with no irrigation districts and no towns on the mapped 87 km2 polygon. No groundwater-irrigated cropland and no urban land found on the polygon within 100 km of the Rio Bravo border.","[T1] Sanchez, R., Lopez, V., Eckstein, G. (2016). Identifying and characterizing transboundary aquifers along the Mexico-US border: An initial assessment. Journal of Hydrology 535, 101-119. https://twri.agrilife.org/transboundary/wp-content/uploads/sites/41/2023/09/sanchez_et_al-2016-jh.pdf | [T1] CONAGUA, Actualizacion de la disponibilidad media anual de agua subterranea, acuifero Cerro Colorado-La Partida (0503), Coahuila (adjacent unit; agricultural use dominated by livestock/domestic, 39 active works, 1.08 hm3/yr) https://sigagis.conagua.gob.mx/gas1/Edos_Acuiferos_18/coahuila/DR_0503.pdf","NEAR-MISS worth recording: Sanchez et al. describe the wider Edwards-Trinity-Burro system as supporting 'irrigation districts and small to medium-sized communities, including the sister cities of Ciudad Acuna and Del Rio'. Those urban areas sit on the Rio Bravo over the Cerro Colorado-La Partida / Edwards-Trinity units, roughly 100 km northeast of the Serrania del Burro range, not on the 86.8 km2 N070 polygon. If the N070 polygon in the source delineation actually extends north to the Rio Bravo near Ciudad Acuna (pop. ~230,000) / Del Rio (pop. ~34,000), the urban limb of the IU0 claim would fail immediately and the class would be UB. Authors should check the polygon's northern extent against the Acuna urban area before relying on this IU0."
AS076,Zaisan Artesian Basin / Ertix River Plain,CHN,KAZ,F: random probability sample (second tranche),DA,"Both CHN and KAZ have groundwater-irrigated cropland over this aquifer, and neither side is >99% concentrated within 10 km of the border.",CONFIRMED,,no,,,,,,,,,,,,,,medium,yes,,"The Zaisan artesian basin / Ertix (Irtysh) river plain carries irrigated agriculture on both sides: Altay Prefecture, Xinjiang has large irrigated areas served by both Irtysh diversions and well fields, and East Kazakhstan oblast around Lake Zaysan has irrigated cropland with documented groundwater abstraction. Nothing found suggests either side lacks groundwater-irrigated cropland or is >99% concentrated within 10 km of the CHN-KAZ border.","[T1] World Bank, General Country Assessment - Kazakhstan (water sector), 2024 https://documents1.worldbank.org/curated/en/099062424121021579/pdf/P1700301c580430118aca1917d53b41c92.pdf | [T1] SIC ICWC, Central Asia water yearbook 2023, Section 5: Key water developments in Kazakhstan https://www.cawater-info.net/yearbook/2023/05_yearbook2023_kz_en.htm | [T2] The Diplomat, 'All Along the Irtysh River Basin' (2018) https://thediplomat.com/2018/11/all-along-the-irtysh-river-basin/","The literature on this basin is about transboundary surface-water allocation of the Irtysh (the Irtysh-Karamay canal), not about the artesian basin as such; aquifer-specific groundwater-irrigation figures per country segment were not found. The DA claim is however weak enough that it survives: both sides plainly have irrigated agriculture and the reported 10 km shares (0.5% CHN, 7.6% KAZ) are far from the 99% BL threshold. ur1/ur2 (33,321 / 29,508 ha on 4.72 Mha) are plausible."
AS016,Ktsia-Khrami Aquifer,AZE,GEO,F: random probability sample (second tranche),IU1,"GEO has >1 ha of neither groundwater-irrigated cropland nor urban-cluster land within 100 km of the shared border, over this aquifer.",INSUFFICIENT,,no,,,,,,,,,,,,,,low,no,,"No aquifer-specific record found. The UNECE Second Assessment of transboundary waters treats 'Ktsia-Khrami' as a RIVER basin (8,340 km2, shared by Armenia, Azerbaijan and Georgia), not as an aquifer, and gives no groundwater description; no hydrogeological study, national report or IGRAC/ISARM case study of a Ktsia-Khrami aquifer could be located. Neither limb of the GEO claim could be tested against evidence tied to the mapped polygon.","[T1] UNECE, Second Assessment of Transboundary Rivers, Lakes and Groundwaters, Chapter 4: Drainage basin of the Caspian Sea (Ktsia-Khrami river basin entry) https://unece.org/DAM/env/water/blanks/assessment/caspian.pdf | [T1] IGRAC/UNESCO-IHP, Transboundary Aquifers of the World, edition 2015 (delineation inventory only) https://unesdoc.unesco.org/ark:/48223/pf0000264020","NEAR-MISS the authors should resolve by inspecting the polygon: the Khrami/Ktsia valley downstream of the Khrami reservoir (Marneuli and Bolnisi municipalities, Kvemo Kartli) is Georgia's most intensively irrigated agricultural district, with both canal and well irrigation and with towns of >20,000 (Marneuli), all comfortably within 100 km of the Azerbaijani border. If any part of the 24.3 km2 polygon reaches the Marneuli plain, BOTH limbs of the GEO claim fail and the class becomes DA rather than IU1/BL. Conversely if the polygon sits only at the Khrami-Kura confluence on the Azerbaijani side, IU1 may be right. INPUT NOTE: ur1 (AZE) = 429.6 ha is 18% of the whole 2,429 ha polygon, a very high built-up fraction for this rural reach; and cls (IU1) differs from clsF (BL), which is worth checking since the two rules are not adjacent in the ordering."
EB010 - EB012,Cerknica / Kupa Aquifer; Ko?evje Goteni?ka Gora Aquifer; Radovica-Metlika / Zumberak Aquifer,HRV,SVN,F: random probability sample (second tranche),IU1,"HRV has >1 ha of neither groundwater-irrigated cropland nor urban-cluster land within 100 km of the shared border, over this aquifer.",CONTRADICTED_T1,UB,yes,validated,accepted: feature strictly inside the polygon and band,HRV,"Cabar (HRV, 45.4967,14.6539, +/-3km)",0.0,2.5,A,"excluded: definitional, settlement below the urban-cluster threshold",IU1,,,not applied: definitional (reported as sensitivity),1,medium,yes,,"Croatia holds roughly 1,000 km2 of the Kupa-catchment transboundary karst aquifer and Biondic et al. (2006) state that 'many settlements and a highly developed wood industry are present' in it. Named Croatian towns on this karst directly at the Slovenian border include the town (grad) of Cabar in the Cabranka-Kupa valley, 3,208 inhabitants at the 2021 census and within ~1-2 km of the border, plus Gerovo, Prezid and Delnice further south. Their built-up footprints are far above 10 ha, so the claim that HRV has <10 ha of urban land within 100 km of the HRV-SVN border over this aquifer is false.","[T1] Biondic, B., Biondic, R., Measki, H. (2006). Karst groundwater protection in the Kupa River catchment area and sustainable development. Environmental Geology 49, 828-839. 10.1007/s00254-006-0178-4 | [T1] Croatian Bureau of Statistics (DZS), Census of Population 2021 - Town of Cabar, Primorje-Gorski Kotar County: 3,208 inhabitants https://mojahrvatska.com.hr/grad/cabar/ | [T1] IGRAC, Transboundary Aquifers of Europe map 2022 (EB010-EB012 delineation) https://un-igrac.org/wp-content/uploads/2024/12/Transboundary_aquifers_Europe_map_2022-1.pdf","Contradiction is on the URBAN limb only. No groundwater-irrigated cropland was found on the Croatian side: Biondic et al. describe the resource as a drinking-water supply (about 6 m3/s of high-quality spring water for western Croatia) and mention no irrigation, and Gorski Kotar/Zumberak agriculture is rainfed grassland and forest. Applying the ordered rule to corrected numbers: neither side has >10 ha groundwater-irrigated cropland within 100 km, but both sides now have urban land, so IU0 and IU1 both fail and the rule produces UB. Residual uncertainty is whether the specific EB010/EB011/EB012 polygons include the Cabranka-Kupa valley floor where Cabar sits rather than only the Snieznik/Gorski Kotar uplands; the aquifer is by construction transboundary and its Croatian part is ~1,000 km2, so a zero-urban Croatian segment is not credible either way."
